pillar,themes,macro_goal,mg_code,fy_numeric,fy_label,value,status
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of milk processing capacity over total milk production,AIRM20,2015,2014-15,49.04,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of milk processing capacity over total milk production,AIRM20,2016,2015-16,56.1,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of milk processing capacity over total milk production,AIRM20,2017,2016-17,55.28,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of milk processing capacity over total milk production,AIRM20,2018,2017-18,61.65,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of milk processing capacity over total milk production,AIRM20,2019,2018-19,60.3,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of milk processing capacity over total milk production,AIRM20,2020,2019-20,62.69,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of milk processing capacity over total milk production,AIRM20,2021,2020-21,65.81,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of milk processing capacity over total milk production,AIRM20,2022,2021-22,69.47,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of milk processing capacity over total milk production,AIRM20,2023,2022-23,71.17,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of milk processing capacity over total milk production,AIRM20,2024,2023-24,71.52,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of milk processing capacity over total milk production,AIRM20,2025,2024-25,69.52,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of Milk Procurement under organized sector over milk total production,AIRM21,2014,2013-14,41.46,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of Milk Procurement under organized sector over milk total production,AIRM21,2015,2014-15,43.84,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of Milk Procurement under organized sector over milk total production,AIRM21,2016,2015-16,48.22,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of Milk Procurement under organized sector over milk total production,AIRM21,2017,2016-17,50.18,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of Milk Procurement under organized sector over milk total production,AIRM21,2018,2017-18,51.63,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of Milk Procurement under organized sector over milk total production,AIRM21,2019,2018-19,61.49,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of Milk Procurement under organized sector over milk total production,AIRM21,2020,2019-20,50.15,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of Milk Procurement under organized sector over milk total production,AIRM21,2021,2020-21,53.43,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of Milk Procurement under organized sector over milk total production,AIRM21,2022,2021-22,52.47,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of Milk Procurement under organized sector over milk total production,AIRM21,2023,2022-23,52.43,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Ratio of Milk Procurement under organized sector over milk total production,AIRM21,2024,2023-24,49.74,Actual
